,moive name,English name,star,year,length,vote num,director,scriptwriter,type,actor,Domestic,International,Worldwide,imdb str
13,追随 Following,Following,8.9,1998,69分钟,130716,克里斯托弗·诺兰,克里斯托弗·诺兰,悬疑/惊悚/犯罪,杰里米·西奥伯德/亚历克斯·霍/露西·拉塞尔/约翰·诺兰/迪克·布拉德塞尔/吉莉安·艾尔-卡迪/詹妮弗·安杰尔/尼古拉斯·卡洛蒂/达伦·奥曼迪/盖·格林威/塔索斯·史蒂文斯/特里斯坦·马丁/瑞贝卡·詹姆斯/保罗·梅森/大卫·博维尔/大卫·朱莱安/芭芭拉·斯特潘斯基/艾玛·托马斯/戴安娜·札克,"$48,482",获取失败,"$48,482",tt0154506
14,九品芝麻官,Hail the Judge,8.5,1994,108分钟,374757,王晶,王晶,喜剧/古装,周星驰/吴孟达/张敏/徐锦江/钟丽缇/蔡少芬/吴启华/邹兆龙/梁荣忠/黄一飞/苑琼丹/刘洵/黄一山,获取失败,获取失败,获取失败,tt0110201
15,哈利·波特与火焰杯 Harry Potter and the Goblet of Fire,Harry Potter and the Goblet of Fire,8.5,2005,157 分钟,345681,迈克·内威尔,史蒂夫·克洛夫斯/J·K·罗琳,奇幻/冒险,丹尼尔·雷德克里夫/艾玛·沃森/鲁伯特·格林特/蒂莫西·斯波/邦妮·怀特/罗伯特·帕丁森/汤姆·费尔顿/梁佩诗/迈克尔·刚本/玛吉·史密斯/艾伦·瑞克曼/加里·奥德曼/拉尔夫·费因斯,"$290,417,905","$605,928,323","$896,346,229",tt0330373
16,一次别离 جدایی نادر از سیمین,A Separation,8.7,2011,123分钟,195195,阿斯哈·法哈蒂,阿斯哈·法哈蒂,剧情/家庭,佩曼·莫阿迪/蕾拉·哈塔米/萨瑞·巴亚特/沙哈布·侯赛尼/萨日娜·法哈蒂/梅里拉·扎雷伊/阿里-阿萨哈·萨哈巴齐/巴巴克·卡里米/吉米娅·侯赛伊妮/希尔·亚齐丹巴克什/萨哈巴努·佐哈多,"$7,099,055","$15,827,021","$22,926,076",tt1832382
17,千钧一发 Gattaca,Gattaca,8.8,1997,106分钟,172044,安德鲁·尼科尔,安德鲁·尼科尔,剧情/科幻/惊悚,伊桑·霍克/乌玛·瑟曼/裘德·洛/艾伦·阿金/戈尔·维达尔/山德·贝克利/劳恩·迪恩/简妮·布鲁克/伊莱亚斯·科泰斯/玛娅·鲁道夫/伍娜·戴蒙/布莱尔·安德伍德/梅森·甘布/威廉姆·李·斯科特/欧内斯特·博格宁/托尼·夏尔赫布/肯·马里诺/加布里埃尔·瑞丝/迪恩·诺里斯/丹格里芬/格雷戈·赛斯特罗/Elizabeth Dennehy/查德·克里斯特/George Marshall Ruge,"$12,532,777",获取失败,"$12,532,777",tt0119177
18,我爱你 그대를 사랑합니다,Late Blossom,9.0,2011,118分钟,108951,秋昌旼,姜草/秋昌旼,剧情/爱情,宋在浩/李顺载/尹秀晶/金秀美/宋智孝/吴达洙,获取失败,获取失败,获取失败,tt1862020
19,黑鹰坠落 Black Hawk Down,Black Hawk Down,8.7,2001,144分钟,207907,雷德利·斯科特,肯·诺兰/马克·鲍登,动作/历史/战争,乔什·哈奈特/伊万·麦克格雷格/汤姆·塞兹摩尔/金·寇兹/艾文·布莱纳/艾瑞克·巴纳/休·丹西/威廉·菲克纳/奥兰多·布鲁姆/汤姆·哈迪/詹森·艾萨克,"$108,638,745","$64,350,906","$172,989,651",tt0265086
20,四个春天,Four Springs,8.9,2017,105分钟,117232,陆庆屹,陆运坤/李桂贤/陆庆伟/陆庆松/陆庆屹,纪录片/家庭,陆运坤/李桂贤/陆庆伟/陆庆松/陆庆屹,获取失败,"$1,561,731","$1,561,731",tt7124742
21,网络谜踪 Searching,Searching,8.6,2018,102分钟,378264,阿尼什·查甘蒂,阿尼什·查甘蒂/赛弗·奥哈尼安,剧情/悬疑/惊悚/犯罪,约翰·赵/米切尔·拉/黛博拉·梅辛/约瑟夫·李/萨拉·米博·孙/亚历克丝·杰恩·高/刘玥辰/刘卡雅/多米尼克·霍夫曼/西尔维亚·米纳西安/梅丽莎·迪斯尼/康纳·麦克雷斯/科林·伍德尔/约瑟夫·约翰·谢尔勒/阿什丽·艾德纳/考特尼·劳伦·卡明斯/托马斯·巴布萨卡/朱莉·内桑森/罗伊·阿布拉姆森/盖奇·比尔托福/肖恩·奥布赖恩/瑞克·萨拉比亚/布拉德·阿布瑞尔/加布里埃尔·D·安吉尔,"$26,020,957","$49,441,080","$75,462,037",tt7668870
22,发条橙 A Clockwork Orange,A Clockwork Orange,8.5,1971,136 分钟,278595,斯坦利·库布里克,斯坦利·库布里克/安东尼·伯吉斯,剧情/科幻/犯罪,马尔科姆·麦克道威尔/帕特里克·马基/迈克尔·贝茨/沃伦·克拉克/约翰·克莱夫,"$26,589,355","$314,085","$26,903,440",tt0066921
23,E.T. 外星人 E.T.: The Extra-Terrestrial,E.T. the Extra-Terrestrial,8.6,1982,115分钟,257317,史蒂文·斯皮尔伯格,梅丽莎·马西森,剧情/科幻,亨利·托马斯/迪·沃伦斯/罗伯特·麦克纳夫顿/德鲁·巴里摩尔/彼德·考约特,"$435,110,554","$358,371,624","$793,482,178",tt0083866
24,波西米亚狂想曲 Bohemian Rhapsody,Bohemian Rhapsody,8.7,2018,135分钟,404429,布莱恩·辛格,安东尼·麦卡滕/皮特·摩根,剧情/同性/音乐/传记,拉米·马雷克/本·哈迪/约瑟夫·梅泽罗/格威利姆·李/艾伦·里奇/露西·宝通/艾丹·吉伦/汤姆·霍兰德/麦克·梅尔斯/阿隆·麦克卡斯克/梅内卡·达斯/迪基·博/蒂姆· 普莱斯特/杰克·罗思/马克斯·班内特/基兰·哈德卡斯托/罗斯·格林/布鲁斯·麦克金伦/米歇尔·邓肯/马特·格林伍德/罗茜·本杰明/约翰·奥特曼/詹姆斯·华莱士/文森特·阿德里安/拉斯科·阿特金斯/乔纳森·奇塔姆/迈克尔·科布/耶稣·加洛/亚当·兰伯特/豪尔赫·莱昂·马丁内斯/杰森· 莱恩斯/伊斯雷尔·鲁兹,"$216,428,042","$687,227,217","$903,655,259",tt1727824
